
	07:30:00 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.02 Segs. ==>	MONTO: 5,925.00
	08:44:13 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	08:50:50 [SEGURO:00] CLIENTE[  34  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	09:24:54 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 1,875.00
	09:36:53 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	09:49:47 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 1,875.00
	10:01:39 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	10:10:34 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	10:19:07 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 2,475.00
	10:24:01 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	10:26:21 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 1,875.00
	10:26:31 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 995.00
	10:41:51 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	10:53:45 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	11:21:42 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	11:23:32 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 695.00
	12:50:26 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	13:31:59 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 695.00
	13:43:29 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 175.00
	13:46:07 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 375.00
	13:55:22 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 375.00
	15:41:02 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 275.00
	15:53:53 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 695.00
	16:15:05 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 1,875.00
	16:36:07 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 695.00
	16:39:13 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 175.00
	17:58:46 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 695.00
	18:11:25 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 1,875.00
	18:55:56 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.00 Segs. ==>	MONTO: 1,875.00
	19:48:51 [SEGURO:00] CLIENTE[  20  ] ==>	ASEG: One Alliance            ==> 	TIEMPO: 0.01 Segs. ==>	MONTO: 1,875.00
